symbol,fv_company,fv_sector,fv_industry,fv_p_e,fv_eps_ttm,fv_perf_week,fv_market_cap,fv_forward_p_e,fv_perf_month,fv_short_float,fv_perf_quarter,fv_p_s,fv_eps_this_y,fv_short_ratio,fv_perf_half_y,fv_p_b,fv_roa,fv_perf_ytd,fv_p_c,fv_roe,fv_52w_high,fv_perf_year,fv_p_fcf,fv_eps_past_3_5y,fv_roic,fv_52w_low,fv_perf_3y,fv_dividend_est,fv_ev_ebitda,fv_sales_past_3_5y,fv_volatility_w,fv_volatility_m,fv_perf_5y,fv_dividend_ttm,fv_ev_sales,fv_eps_y_y_ttm,fv_oper_margin,fv_atr_14,fv_perf_10y,fv_quick_ratio,fv_sales_y_y_ttm,fv_profit_margin,fv_rsi_14,fv_recom,fv_dividend_gr_3_5y,fv_current_ratio,fv_eps_q_q,fv_sma20,fv_beta,fv_payout,fv_debt_eq,fv_sales_q_q,fv_sma50,fv_rel_volume,fv_prev_close,fv_lt_debt_eq,fv_sma200,fv_avg_volume,fv_price,fv_ipo,fv_eps_sales_surpr,fv_trades,fv_volume,fv_change
TSCO,Tractor Supply Co,Consumer Cyclical,Specialty Retail,21.85,2.06,-0.04%,23.68B,18.80,-2.05%,5.46%,-11.28%,1.53,5.38%,4.25,-19.35%,9.19,10.57%,-10.00%,121.97,45.18%,63.99 -29.66%,-10.27%,31.97,1.99% 10.06%,13.58%,43.23 4.12%,-6.71%,0.97 (2.17%),15.00,3.00% 7.89%,2.25%,2.65%,24.28%,0.93 (2.07%),1.90,0.88%,9.45%,1.30,151.56%,0.16,4.31%,7.06%,42.94,2.09,7.53% 25.12%,1.34,-2.70%,-0.26%,0.69,44.67%,2.30,3.31%,-7.99%,1.31,44.63,2.13,-16.72%,6.74M,45.01,"Feb 18, 1994",-6.99% -2.28%,"

","8,806,933",0.85%
UAA,Under Armour Inc,Consumer Cyclical,Apparel Manufacturing,-,-1.22,6.05%,2.73B,28.46,6.05%,22.20%,12.67%,0.55,-63.49%,4.02,35.21%,1.93,-11.22%,30.58%,2.55,-30.39%,8.15 -20.37%,11.32%,-,- -,-21.81%,4.13 57.14%,-28.29%,-,9.13,-3.17% -0.32%,4.13%,4.39%,-70.57%,-,0.67,-322.74%,4.89%,0.30,-84.94%,0.92,-6.20%,-10.41%,57.30,2.79,- -,1.43,-36317.86%,7.91%,1.77,-,1.18,-4.84%,-2.18%,0.87,6.26,0.66,14.81%,10.38M,6.49,"Nov 18, 2005",708.11% 1.23%,"

","9,082,916",3.67%
UPS,"United Parcel Service, Inc",Industrials,Integrated Freight & Logistics,16.23,6.56,4.66%,90.47B,13.40,9.91%,2.36%,-2.01%,1.02,-1.97%,2.68,26.58%,5.57,7.78%,7.31%,15.36,33.83%,122.41 -13.05%,10.38%,18.99,-20.80% 33.57%,12.83%,82.00 29.80%,-44.93%,6.57 (6.18%),9.26,-3.95% 0.98%,2.05%,2.24%,-40.77%,6.56 (6.16%),1.28,-2.88%,9.56%,2.46,0.85%,1.17,-2.49%,6.29%,65.85,2.44,2.57% 10.18%,1.22,4.19%,6.93%,1.04,100.07%,1.76,-2.96%,0.62%,0.83,105.06,1.68,9.53%,6.56M,106.44,"Nov 10, 1999",8.15% 2.02%,"

","5,459,287",1.31%
VEEV,Veeva Systems Inc,Healthcare,Health Information Services,31.01,5.42,10.91%,27.43B,17.00,-8.74%,3.45%,-23.29%,8.58,9.41%,2.27,-41.56%,3.81,11.14%,-24.76%,4.18,13.93%,310.50 -45.91%,-22.23%,19.79,21.93% 18.15%,12.45%,148.05 13.44%,-6.19%,-,21.02,14.03% 16.88%,4.90%,4.14%,-38.50%,-,6.56,25.89%,29.64%,7.65,551.73%,4.89,16.34%,28.44%,44.51,1.75,- -,4.89,22.91%,-1.74%,1.02,0.00%,0.01,15.96%,-5.77%,0.96,167.69,0.01,-31.01%,2.26M,167.95,"Oct 16, 2013",6.44% 3.12%,"

","2,172,185",0.16%
ZTS,Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,20.32,6.02,3.84%,51.66B,16.14,4.29%,3.59%,-2.31%,5.46,9.63%,3.64,-13.89%,15.61,18.00%,-2.73%,22.34,65.99%,172.23 -28.94%,-17.68%,22.63,10.25% 11.96%,21.26%,113.29 8.02%,-29.92%,2.17 (1.77%),14.36,5.42% 7.24%,2.50%,2.44%,-26.99%,2.03 (1.66%),6.19,10.11%,38.00%,3.13,154.38%,1.94,2.28%,28.23%,56.62,1.83,14.57% 19.02%,3.03,6.74%,3.74%,0.92,33.71%,2.79,3.02%,0.37%,1.49,119.04,2.78,-8.80%,4.15M,122.38,"Feb 01, 2013",5.59% 1.14%,"

","6,170,358",2.81%
CE,Celanese Corp,Basic Materials,Chemicals,-,-10.59,-1.74%,6.94B,9.57,3.57%,6.77%,31.59%,0.73,36.69%,2.87,54.34%,1.68,-5.11%,46.71%,5.50,-24.70%,68.77 -9.80%,54.73%,8.65,- -,-7.38%,35.13 76.57%,-43.92%,0.13 (0.22%),12.39,-0.45% 11.03%,5.55%,5.07%,-60.72%,0.12 (0.19%),1.99,23.87%,8.05%,3.62,-10.50%,0.94,-7.16%,-12.15%,50.66,2.14,-64.75% -45.43%,1.55,100.99%,-1.86%,0.83,-,3.19,-7.00%,7.00%,1.42,68.34,2.88,27.95%,2.62M,62.03,"Jan 21, 2005",-26.61% -2.22%,"

","3,726,005",-9.23%
DUOL,Duolingo Inc,Technology,Software - Application,11.93,8.43,11.64%,4.72B,30.84,0.46%,20.47%,-34.91%,4.55,-64.90%,2.99,-70.53%,3.48,25.14%,-42.73%,4.14,38.14%,544.93 -81.56%,-69.22%,12.76,- -,28.74%,87.89 14.36%,-25.72%,-,23.64,41.08% 45.03%,6.23%,5.72%,-,-,3.55,342.71%,13.61%,6.14,-,2.61,38.71%,39.91%,51.75,2.85,- -,2.61,199.79%,4.24%,0.87,0.00%,0.07,34.99%,-1.96%,0.80,103.45,0.07,-55.08%,2.66M,100.51,"Jul 28, 2021",0.70% 2.51%,"

","2,124,833",-2.84%
FE,Firstenergy Corp,Utilities,Utilities - Regulated Electric,28.39,1.76,-2.59%,28.98B,17.01,-1.11%,4.56%,7.58%,1.92,7.08%,5.71,5.05%,2.31,1.89%,11.91%,292.70,8.17%,52.34 -4.28%,19.23%,-,35.47% -0.91%,2.67%,39.28 27.56%,22.61%,1.86 (3.71%),13.02,6.59% 6.94%,1.66%,1.96%,40.38%,1.78 (3.55%),3.79,4.05%,18.77%,0.91,40.49%,0.46,12.01%,6.76%,45.34,2.11,4.10% 2.44%,0.57,-118.74%,-0.74%,0.54,99.73%,2.15,19.55%,-0.08%,1.11,50.58,2.06,8.90%,4.61M,50.10,"Nov 10, 1997",-2.50% 23.92%,"

","5,109,473",-0.95%
TRI,Thomson-Reuters Corp,Industrials,Specialty Business Services,27.92,3.33,11.70%,41.37B,18.54,-0.95%,7.96%,-25.50%,5.53,12.44%,3.71,-41.61%,3.51,8.15%,-29.48%,79.86,12.40%,218.42 -57.42%,-48.88%,20.47,6.55% 8.16%,11.15%,79.71 16.69%,-28.44%,2.58 (2.78%),14.86,4.10% 4.55%,3.99%,3.92%,0.42%,2.44 (2.62%),5.80,-31.93%,26.57%,3.81,128.32%,0.60,3.00%,20.04%,52.64,1.58,10.53% 9.47%,0.61,-42.88%,4.17%,0.82,71.52%,0.20,5.24%,0.41%,0.77,93.07,0.13,-33.75%,2.88M,93.01,"Jun 12, 2002",0.68% 0.47%,"

","2,211,366",-0.06%
AQN,Algonquin Power & Utilities Corp,Utilities,Utilities - Diversified,28.79,0.22,-0.16%,5.05B,15.61,-0.93%,1.39%,-0.93%,2.09,6.67%,2.18,7.23%,1.13,1.41%,3.74%,154.46,4.67%,7.11 -10.20%,17.93%,-,- -30.67%,1.58%,5.16 23.64%,-24.94%,0.26 (4.08%),13.48,-3.77% 7.87%,1.57%,2.06%,-60.71%,0.26 (4.08%),5.04,112.41%,20.78%,0.14,-23.59%,0.82,-2.65%,7.09%,52.57,2.27,-28.79% -15.68%,1.00,109.90%,1.87%,0.84,116.87%,1.41,7.60%,-1.40%,0.52,6.41,1.33,5.17%,4.89M,6.38,"Nov 10, 2009",24.74% 3.95%,"

","2,552,863",-0.47%
FTK,Flotek Industries Inc,Energy,Oil & Gas Equipment & Services,18.80,0.83,-1.01%,565.04M,15.15,-5.22%,12.80%,-2.80%,2.38,-24.69%,7.79,-0.57%,4.16,15.08%,-9.34%,96.92,26.90%,20.41 -23.47%,129.03%,119.21,- -,19.26%,6.20 151.94%,281.33%,-,16.86,20.36% 34.88%,5.21%,5.53%,84.63%,-,2.57,149.24%,11.79%,0.95,-65.66%,1.63,26.86%,12.87%,44.00,1.00,- -,1.80,-43.93%,-3.86%,1.42,0.00%,0.44,33.02%,-6.17%,0.77,16.29,0.40,2.53%,276.82K,15.62,"Sep 10, 1996",-45.21% 26.06%,"

","214,157",-4.11%
QLYS,Qualys Inc,Technology,Software - Infrastructure,15.27,5.45,9.15%,2.97B,10.42,-13.94%,11.33%,-37.84%,4.44,4.32%,5.06,-34.91%,5.30,18.91%,-37.42%,6.65,38.20%,155.47 -46.50%,-31.05%,9.75,25.61% 19.39%,32.72%,74.51 11.62%,-35.48%,-,10.83,11.10% 13.07%,4.65%,5.36%,-20.63%,-,3.85,16.28%,33.37%,4.74,235.63%,1.39,9.89%,29.65%,40.37,2.62,- -,1.39,23.78%,-4.34%,0.58,0.00%,0.09,10.11%,-12.11%,1.74,84.09,0.08,-33.75%,788.18K,83.17,"Sep 28, 2012",4.92% 1.22%,"

","1,368,647",-1.09%
MOH,Molina Healthcare Inc,Healthcare,Healthcare Plans,17.42,8.55,2.12%,7.76B,17.81,0.23%,6.72%,-23.11%,0.17,-54.37%,1.85,-22.57%,1.87,3.02%,-14.16%,-,11.02%,333.22 -55.29%,-53.76%,-,-12.98% -4.51%,5.85%,121.06 23.05%,-49.52%,-,-,12.42% 18.68%,3.78%,4.38%,-40.48%,-,-,-58.18%,1.72%,6.19,143.34%,-,11.81%,1.04%,55.30,2.86,- -,1.69,-170.62%,5.11%,0.58,0.00%,0.99,8.34%,4.00%,0.53,148.87,0.98,-10.91%,1.87M,148.97,"Jul 02, 2003",-919.43% 4.56%,"

","994,449",0.07%
ABI,VictoryShares Pioneer Asset-Based Income ETF,Financial,Exchange Traded Fund,,,0.34%,"

",,0.04%,,-0.16%,,,,-0.34%,,,0.20%,,,25.36 -1.97%,-,,,,24.75 0.46%,-,,,,0.02%,0.01%,-,1.16 (4.68%),,,,0.03,-,,,,49.99,,- -,,,0.10%,-,,,,-0.26%,0.45,24.82,,-0.45%,0.21K,24.86,"Jul 01, 2025",,"

",94,0.18%
