date,timestamp,open,high,low,close,volume
2020-11-10,20:00:00,3548.045,3552.299,3527.533,3546.233,24.3881482762996
2020-11-10,21:00:00,3546.045,3552.033,3534.239,3545.536,34.9132789359428
2020-11-10,22:00:00,3545.536,3553.548,3538.545,3546.551,29.3059292502585
2020-11-10,23:00:00,3546.242,3552.454,3546.242,3550.451,3.42895992158446
2020-11-11,01:00:00,3550.645,3556.736,3539.299,3541.736,9.77792477283776
2020-11-11,02:00:00,3541.799,3545.245,3535.439,3540.254,13.9402296895278
2020-11-11,03:00:00,3540.139,3549.442,3535.433,3548.648,12.3403717254475
2020-11-11,04:00:00,3548.654,3560.751,3547.733,3554.954,11.0135797595722
2020-11-11,05:00:00,3555.154,3558.499,3548.233,3553.245,8.50299380902879
2020-11-11,06:00:00,3553.339,3553.951,3546.436,3550.748,6.18852985539706
2020-11-11,07:00:00,3550.936,3553.999,3544.739,3550.436,9.27128978911787
2020-11-11,08:00:00,3549.945,3561.233,3549.236,3555.645,6.30599985999288
2020-11-11,09:00:00,3555.733,3568.299,3547.833,3548.433,12.2241437263715
2020-11-11,10:00:00,3548.442,3571.999,3547.733,3571.254,22.1607594795641
2020-11-11,11:00:00,3570.939,3573.342,3563.439,3568.254,13.2520597008988
2020-11-11,12:00:00,3568.442,3572.945,3567.704,3570.736,8.15393081313334
2020-11-11,13:00:00,3570.454,3577.999,3569.299,3575.442,8.27118680983938
2020-11-11,14:00:00,3575.451,3577.445,3568.433,3574.751,8.71413579928276
2020-11-11,15:00:00,3574.448,3578.248,3567.445,3570.236,9.11233978718519
2020-11-11,16:00:00,3570.148,3571.351,3556.548,3558.536,17.6054296035436
2020-11-11,17:00:00,3558.348,3568.599,3556.545,3565.348,25.9833794201841
2020-11-11,18:00:00,3565.039,3574.899,3563.333,3574.548,10.7512537552491
2020-11-11,19:00:00,3574.348,3579.333,3572.542,3576.342,7.29259082981355
2020-11-11,20:00:00,3576.542,3581.099,3571.851,3572.599,7.26310183292594
2020-11-11,21:00:00,3572.854,3578.399,3556.042,3562.799,14.4794396693469
2020-11-11,22:00:00,3562.551,3574.554,3558.733,3572.042,19.3804295550799
2020-11-11,23:00:00,3571.751,3578.654,3571.733,3577.654,2.57927993946942
2020-11-12,01:00:00,3577.836,3578.299,3571.651,3572.454,3.98556990810903
2020-11-12,02:00:00,3572.699,3575.733,3568.236,3570.233,8.11325982084963
2020-11-12,03:00:00,3569.751,3573.448,3564.939,3566.439,9.20995978824794
2020-11-12,04:00:00,3566.448,3568.199,3557.245,3561.236,6.55633984785527
2020-11-12,05:00:00,3560.948,3563.739,3545.942,3547.951,8.93487979657948
2020-11-12,06:00:00,3547.945,3550.299,3542.248,3544.951,5.55570987425745
2020-11-12,07:00:00,3544.951,3556.436,3544.736,3553.939,6.92951984517276
2020-11-12,08:00:00,3553.848,3555.439,3544.636,3549.248,7.09111984242918
2020-11-12,09:00:00,3549.248,3555.999,3546.439,3549.345,10.2343497667462
2020-11-12,10:00:00,3548.999,3558.754,3547.345,3550.942,20.3316295471159
2020-11-12,11:00:00,3551.239,3566.954,3550.233,3565.733,11.5608997440431
2020-11-12,12:00:00,3565.933,3573.254,3564.433,3568.454,9.66290277603491
2020-11-12,13:00:00,3568.636,3572.745,3563.933,3564.248,7.39916983153671
2020-11-12,14:00:00,3564.451,3565.842,3548.448,3549.951,11.7972397385165
2020-11-12,15:00:00,3550.199,3563.254,3548.933,3562.745,8.58926968154265
2020-11-12,16:00:00,3562.948,3563.745,3551.533,3558.099,14.369899458834
2020-11-12,17:00:00,3557.542,3568.597,3554.331,3564.851,13.9998494720785
2020-11-12,18:00:00,3564.842,3568.851,3551.833,3557.348,11.049171584061
2020-11-12,19:00:00,3557.342,3561.036,3529.533,3537.054,12.3049095355091
2020-11-12,20:00:00,3537.046,3539.399,3524.336,3538.951,16.5023693813127
2020-11-12,21:00:00,3538.931,3543.354,3523.339,3525.348,14.9660994383157
2020-11-12,22:00:00,3525.445,3538.399,3517.533,3537.839,18.6549193002866
2020-11-12,23:00:00,3538.299,3547.954,3538.242,3543.251,3.17146987887099
2020-11-13,01:00:00,3542.445,3543.954,3537.133,3538.651,3.96234984934563
2020-11-13,02:00:00,3538.643,3542.954,3531.139,3531.499,6.1492397665279
2020-11-13,03:00:00,3531.136,3536.645,3525.151,3526.451,6.38116975815501
2020-11-13,04:00:00,3526.44,3531.954,3522.433,3530.633,5.38114979543025
2020-11-13,05:00:00,3530.64,3533.951,3528.633,3530.854,3.44828986981884
2020-11-13,06:00:00,3530.945,3539.949,3529.945,3538.999,3.05906988348579
2020-11-13,07:00:00,3538.848,3539.951,3534.633,3537.154,4.05154984729597
2020-11-13,08:00:00,3537.634,3547.199,3536.439,3544.142,4.37485983391525
2020-11-13,09:00:00,3544.197,3548.699,3536.199,3548.433,7.86560970154824
2020-11-13,10:00:00,3548.951,3560.899,3546.639,3556.533,12.6104795263382
2020-11-13,11:00:00,3556.549,3568.999,3556.133,3567.933,7.37490972311934
2020-11-13,12:00:00,3567.997,3573.199,3565.133,3568.633,6.17174476658909
2020-11-13,13:00:00,3568.854,3569.651,3558.839,3564.139,6.85033674042063
2020-11-13,14:00:00,3564.197,3564.445,3558.639,3559.142,6.3485897599603
2020-11-13,15:00:00,3559.448,3564.199,3558.648,3561.945,5.51720979122911
2020-11-13,16:00:00,3561.945,3567.297,3556.948,3565.239,12.3525895294733
2020-11-13,17:00:00,3564.742,3566.099,3552.051,3556.739,16.9688493565773
2020-11-13,18:00:00,3557.048,3568.799,3557.033,3567.536,12.7901295143529
2020-11-13,19:00:00,3567.748,3572.254,3565.733,3572.254,7.01693973096553
2020-11-13,20:00:00,3572.551,3576.251,3570.099,3570.751,8.46711167901162
2020-11-13,21:00:00,3571.051,3583.099,3569.236,3581.551,9.9782796188374
2020-11-13,22:00:00,3581.537,3594.099,3574.699,3585.336,14.1297594667994
2020-11-13,23:00:00,3585.399,3588.054,3583.136,3585.033,1.95700992591446
2020-11-16,01:00:00,3590.552,3614.454,3590.245,3611.748,8.8605396648054
2020-11-16,02:00:00,3611.734,3612.254,3605.036,3609.645,5.02780980983516
2020-11-16,03:00:00,3609.539,3614.548,3606.233,3608.745,4.24739983864129
2020-11-16,04:00:00,3609.042,3614.599,3609.042,3611.299,2.82575989299221
2020-11-16,05:00:00,3611.048,3614.597,3610.545,3613.233,2.03408992331242
2020-11-16,06:00:00,3613.499,3614.299,3611.745,3614.242,1.4878599436488
2020-11-16,07:00:00,3614.249,3618.597,3612.251,3617.299,2.73350989696337
2020-11-16,08:00:00,3617.297,3621.097,3613.733,3616.251,3.4297998707043
2020-11-16,09:00:00,3616.099,3618.554,3612.548,3616.242,5.89331977826077
2020-11-16,10:00:00,3616.237,3618.545,3606.739,3610.045,10.1064796184655
2020-11-16,11:00:00,3610.031,3618.043,3609.742,3617.251,7.84191970422398
2020-11-16,12:00:00,3617.599,3617.599,3611.733,3614.742,4.61871982552111
2020-11-16,13:00:00,3615.054,3640.451,3611.533,3623.254,8.94887966068927
2020-11-16,14:00:00,3623.299,3633.597,3618.736,3624.236,17.1343213568396
2020-11-16,15:00:00,3624.249,3625.299,3614.733,3617.251,8.65921967284521
2020-11-16,16:00:00,3617.033,3622.554,3600.651,3608.642,14.6136194447172
2020-11-16,17:00:00,3608.833,3623.651,3606.642,3623.642,14.0755214636295
2020-11-16,18:00:00,3623.345,3626.654,3620.833,3621.839,7.60364971094532
2020-11-16,19:00:00,3622.145,3623.843,3612.836,3615.854,5.94321977521759
2020-11-16,20:00:00,3615.834,3615.851,3601.133,3610.133,10.3428296080674
2020-11-16,21:00:00,3610.336,3616.699,3606.754,3613.654,11.0192795807379
2020-11-16,22:00:00,3613.851,3630.045,3606.845,3629.642,15.3911154145153
2020-11-16,23:00:00,3630.036,3633.052,3628.236,3632.733,2.12320991943125
2020-11-17,01:00:00,3630.836,3633.142,3626.842,3627.651,4.16856484225934
2020-11-17,02:00:00,3627.643,3627.699,3620.036,3621.699,3.2496438768494
2020-11-17,03:00:00,3621.854,3623.699,3610.833,3612.354,3.88355285399336
2020-11-17,04:00:00,3612.349,3616.649,3612.151,3612.639,2.95673988829367
2020-11-17,05:00:00,3612.697,3616.199,3612.336,3614.199,2.65720989980036
2020-11-17,06:00:00,3614.146,3614.154,3609.336,3611.354,2.15215991885634
2020-11-17,07:00:00,3611.646,3611.699,3606.333,3606.333,2.83856989297783
2020-11-17,08:00:00,3606.651,3614.151,3606.142,3613.145,2.32050991250435
2020-11-17,09:00:00,3613.354,3615.897,3610.136,3613.854,4.06112984759966
2020-11-17,10:00:00,3614.054,3619.899,3612.251,3614.136,10.0980696185143
2020-11-17,11:00:00,3614.399,3617.699,3613.136,3614.636,5.63066978822462
2020-11-17,12:00:00,3614.637,3615.199,3609.842,3611.654,5.56405979010742
2020-11-17,13:00:00,3611.351,3611.899,3605.699,3608.639,6.05118977365782
2020-11-17,14:00:00,3608.799,3612.397,3602.342,3604.348,5.23234980250709
2020-11-17,15:00:00,3604.851,3606.699,3596.348,3602.636,5.37653979688184
2020-11-17,16:00:00,3602.643,3605.799,3587.733,3588.251,10.1420696188579
