Ticker,^IXIC,^IXIC,^IXIC,^IXIC,^IXIC,^DJI,^DJI,^DJI,^DJI,^DJI,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,^RUT,^RUT,^RUT,^RUT,^RUT
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,
2021-06-16,14085.5498046875,14129.6904296875,13903.73046875,14039.6796875,4683030000,34308.48046875,34333.25,33917.109375,34033.671875,347150000,4248.8701171875,4251.89013671875,4202.4501953125,4223.7001953125,4538350000,2319.090087890625,2321.909912109375,2296.2099609375,2314.68994140625,4538350000
2021-06-17,13999.1298828125,14196.2099609375,13998.9296875,14161.349609375,4558280000,34014.37890625,34091.7890625,33626.609375,33823.44921875,354690000,4220.3701171875,4232.2900390625,4196.0498046875,4221.85986328125,5312680000,2314.199951171875,2316.60009765625,2264.1201171875,2287.4599609375,5312680000
2021-06-18,14096.9296875,14129.2197265625,14009.0400390625,14030.3798828125,6126070000,33622.69921875,33622.69921875,33271.9296875,33290.078125,563920000,4204.77978515625,4204.77978515625,4164.39990234375,4166.4501953125,6817010000,2284.9599609375,2284.9599609375,2229.580078125,2237.75,6817010000
2021-06-21,14047.419921875,14150.7802734375,13960.0400390625,14141.48046875,4562010000,33312.0703125,33908.08984375,33312.0703125,33876.96875,317260000,4173.39990234375,4226.240234375,4173.39990234375,4224.7900390625,4128950000,2238.6201171875,2289.760009765625,2238.6201171875,2286.090087890625,4128950000
2021-06-22,14138.2900390625,14269.76953125,14121.0,14253.26953125,4433140000,33872.55859375,34040.69921875,33751.05859375,33945.578125,284130000,4224.60986328125,4255.83984375,4217.27001953125,4246.43994140625,3828390000,2285.4599609375,2298.360107421875,2266.159912109375,2295.949951171875,3828390000
2021-06-23,14263.3798828125,14317.66015625,14246.2998046875,14271.73046875,4417470000,33948.5390625,34009.3984375,33869.828125,33874.23828125,255280000,4249.27001953125,4256.60009765625,4241.43017578125,4241.83984375,3730350000,2296.39990234375,2314.300048828125,2296.39990234375,2303.469970703125,3730350000
2021-06-24,14357.26953125,14414.4599609375,14333.7001953125,14369.7099609375,4324620000,33933.91015625,34233.01953125,33933.91015625,34196.8203125,275870000,4256.97021484375,4271.27978515625,4256.97021484375,4266.490234375,3816660000,2305.409912109375,2333.659912109375,2305.409912109375,2333.6201171875,3816660000
2021-06-25,14400.8095703125,14409.080078125,14337.650390625,14360.3896484375,7468090000,34328.1015625,34501.01953125,34314.80078125,34433.83984375,432550000,4274.4501953125,4286.1201171875,4271.16015625,4280.7001953125,7341450000,2336.860107421875,2350.219970703125,2334.39990234375,2334.39990234375,7341450000
2021-06-28,14417.8095703125,14505.1904296875,14417.2001953125,14500.509765625,4283000000,34428.1015625,34449.6484375,34186.12890625,34283.26953125,280280000,4284.89990234375,4292.14013671875,4274.669921875,4290.60986328125,4147890000,2335.340087890625,2342.18994140625,2307.219970703125,2322.340087890625,4147890000
2021-06-29,14509.1904296875,14535.9697265625,14471.3798828125,14528.330078125,4901300000,34338.890625,34469.828125,34266.828125,34292.2890625,282360000,4293.2099609375,4300.52001953125,4287.0400390625,4291.7998046875,3707150000,2323.070068359375,2332.280029296875,2305.919921875,2308.840087890625,3707150000
