datetime,SPY
2022-04-26 16:30:00,416.1
2022-04-27 16:30:00,417.27
2022-04-28 16:30:00,427.81
2022-04-29 16:30:00,412.0
2022-05-02 16:30:00,414.48
2022-05-03 16:30:00,416.38
2022-05-04 16:30:00,429.06
2022-05-05 16:30:00,413.81
2022-05-06 16:30:00,411.34
2022-05-09 16:30:00,398.17
2022-05-10 16:30:00,399.09
2022-05-11 16:30:00,392.75
2022-05-12 16:30:00,392.34
2022-05-13 16:30:00,401.72
2022-05-16 16:30:00,400.09
2022-05-17 16:30:00,408.32
2022-05-18 16:30:00,391.86
2022-05-19 16:30:00,389.46
2022-05-20 16:30:00,389.63
2022-05-23 16:30:00,396.92
2022-05-24 16:30:00,393.89
2022-05-25 16:30:00,397.37
2022-05-26 16:30:00,405.31
2022-05-27 16:30:00,415.26
2022-05-31 16:30:00,412.93
2022-06-01 16:30:00,409.59
2022-06-02 16:30:00,417.39
2022-06-03 16:30:00,410.54
2022-06-06 16:30:00,411.79
2022-06-07 16:30:00,415.74
2022-06-08 16:30:00,411.22
2022-06-09 16:30:00,401.44
2022-06-10 16:30:00,389.8
2022-06-13 16:30:00,375.0
2022-06-14 16:30:00,373.87
2022-06-15 16:30:00,379.2
2022-06-16 16:30:00,366.65
2022-06-17 16:30:00,365.86
2022-06-21 16:30:00,375.07
2022-06-22 16:30:00,374.39
2022-06-23 16:30:00,378.06
2022-06-24 16:30:00,390.08
2022-06-27 16:30:00,388.59
2022-06-28 16:30:00,380.65
2022-06-29 16:30:00,380.34
2022-06-30 16:30:00,377.25
2022-07-01 16:30:00,381.24
2022-07-05 16:30:00,381.96
2022-07-06 16:30:00,383.25
2022-07-07 16:30:00,388.99
2022-07-08 16:30:00,388.67
2022-07-11 16:30:00,384.23
2022-07-12 16:30:00,380.83
2022-07-13 16:30:00,378.83
2022-07-14 16:30:00,377.91
2022-07-15 16:30:00,385.13
2022-07-18 16:30:00,381.95
2022-07-19 16:30:00,392.27
2022-07-20 16:30:00,394.77
2022-07-21 16:30:00,398.79
2022-07-22 16:30:00,395.09
2022-07-25 16:30:00,395.57
2022-07-26 16:30:00,390.89
2022-07-27 16:30:00,401.04
2022-07-28 16:30:00,406.07
2022-07-29 16:30:00,411.99
2022-08-01 16:30:00,410.77
2022-08-02 16:30:00,408.06
2022-08-03 16:30:00,414.45
2022-08-04 16:30:00,414.17
2022-08-05 16:30:00,413.47
2022-08-08 16:30:00,412.99
2022-08-09 16:30:00,411.35
2022-08-10 16:30:00,419.99
2022-08-11 16:30:00,419.99
2022-08-12 16:30:00,427.1
2022-08-15 16:30:00,428.86
2022-08-16 16:30:00,429.7
2022-08-17 16:30:00,426.65
2022-08-18 16:30:00,427.89
2022-08-19 16:30:00,422.14
2022-08-22 16:30:00,413.35
2022-08-23 16:30:00,412.35
2022-08-24 16:30:00,413.67
2022-08-25 16:30:00,419.51
2022-08-26 16:30:00,405.31
2022-08-29 16:30:00,402.63
2022-08-30 16:30:00,398.21
2022-08-31 16:30:00,395.18
2022-09-01 16:30:00,396.42
2022-09-02 16:30:00,392.24
2022-09-06 16:30:00,390.76
2022-09-07 16:30:00,397.78
2022-09-08 16:30:00,400.38
2022-09-09 16:30:00,406.6
2022-09-12 16:30:00,410.97
2022-09-13 16:30:00,393.1
2022-09-14 16:30:00,394.6
2022-09-15 16:30:00,390.12
2022-09-16 16:30:00,385.56
2022-09-19 16:30:00,388.55
2022-09-20 16:30:00,384.09
2022-09-21 16:30:00,377.39
2022-09-22 16:30:00,374.22
2022-09-23 16:30:00,367.95
2022-09-26 16:30:00,364.31
2022-09-27 16:30:00,363.38
2022-09-28 16:30:00,370.53
2022-09-29 16:30:00,362.79
2022-09-30 16:30:00,357.18
2022-10-03 16:30:00,366.61
2022-10-04 16:30:00,377.97
2022-10-05 16:30:00,377.09
2022-10-06 16:30:00,373.2
2022-10-07 16:30:00,362.79
2022-10-10 16:30:00,360.02
2022-10-11 16:30:00,357.74
2022-10-12 16:30:00,356.56
2022-10-13 16:30:00,365.97
2022-10-14 16:30:00,357.63
2022-10-17 16:30:00,366.82
2022-10-18 16:30:00,371.13
2022-10-19 16:30:00,368.5
2022-10-20 16:30:00,365.41
2022-10-21 16:30:00,374.29
2022-10-24 16:30:00,378.87
2022-10-25 16:30:00,384.92
2022-10-26 16:30:00,382.02
2022-10-27 16:30:00,379.98
2022-10-28 16:30:00,389.02
2022-10-31 16:30:00,386.21
2022-11-01 16:30:00,384.52
2022-11-02 16:30:00,374.87
2022-11-03 16:30:00,371.01
2022-11-04 16:30:00,376.35
2022-11-07 17:30:00,379.95
2022-11-08 17:30:00,382.0
2022-11-09 17:30:00,374.13
2022-11-10 17:30:00,394.69
2022-11-11 17:30:00,398.51
2022-11-14 17:30:00,395.12
2022-11-15 17:30:00,398.49
2022-11-16 17:30:00,395.45
2022-11-17 17:30:00,394.24
2022-11-18 17:30:00,396.03
2022-11-21 17:30:00,394.59
2022-11-22 17:30:00,399.9
2022-11-23 17:30:00,402.42
2022-11-25 17:30:00,402.33
2022-11-28 17:30:00,395.91
2022-11-29 17:30:00,395.23
2022-11-30 17:30:00,407.68
2022-12-01 17:30:00,407.38
2022-12-02 17:30:00,406.91
2022-12-05 17:30:00,399.59
2022-12-06 17:30:00,393.83
2022-12-07 17:30:00,393.16
2022-12-08 17:30:00,396.24
2022-12-09 17:30:00,393.28
2022-12-12 17:30:00,398.95
2022-12-13 17:30:00,401.97
2022-12-14 17:30:00,399.4
2022-12-15 17:30:00,389.63
2022-12-16 17:30:00,383.27
2022-12-19 17:30:00,380.02
2022-12-20 17:30:00,380.54
2022-12-21 17:30:00,386.23
2022-12-22 17:30:00,380.72
2022-12-23 17:30:00,382.91
2022-12-27 17:30:00,381.4
2022-12-28 17:30:00,376.66
2022-12-29 17:30:00,383.44
2022-12-30 17:30:00,382.43
2023-01-03 17:30:00,380.82
2023-01-04 17:30:00,383.76
2023-01-05 17:30:00,379.38
2023-01-06 17:30:00,388.08
2023-01-09 17:30:00,387.86
2023-01-10 17:30:00,390.58
2023-01-11 17:30:00,395.52
2023-01-12 17:30:00,396.96
2023-01-13 17:30:00,398.5
2023-01-17 17:30:00,397.77
2023-01-18 17:30:00,391.49
2023-01-19 17:30:00,388.64
2023-01-20 17:30:00,395.88
2023-01-23 17:30:00,400.63
2023-01-24 17:30:00,400.2
2023-01-25 17:30:00,400.35
2023-01-26 17:30:00,404.75
2023-01-27 17:30:00,405.68
2023-01-30 17:30:00,400.59
2023-01-31 17:30:00,406.48
2023-02-01 17:30:00,410.8
2023-02-02 17:30:00,416.78
2023-02-03 17:30:00,412.35
